arquivo_acf	nome_detectado
/home/hal/.local/share/Steam/steamapps/appmanifest_1493710.acf	Proton Experimental
/home/hal/.local/share/Steam/steamapps/appmanifest_2169200.acf	Sniper Elite: Resistance
/home/hal/.local/share/Steam/steamapps/appmanifest_228980.acf	Steamworks Common Redistributables
/home/hal/.local/share/Steam/steamapps/appmanifest_4183110.acf	Steam Linux Runtime 4.0
/home/hal/.local/share/Steam/steamapps/appmanifest_1493710.acf	Proton Experimental
/home/hal/.local/share/Steam/steamapps/appmanifest_2169200.acf	Sniper Elite: Resistance
/home/hal/.local/share/Steam/steamapps/appmanifest_228980.acf	Steamworks Common Redistributables
/home/hal/.local/share/Steam/steamapps/appmanifest_4183110.acf	Steam Linux Runtime 4.0
/home/hal/.steam/steam/steamapps/appmanifest_1493710.acf	Proton Experimental
/home/hal/.steam/steam/steamapps/appmanifest_2169200.acf	Sniper Elite: Resistance
/home/hal/.steam/steam/steamapps/appmanifest_228980.acf	Steamworks Common Redistributables
/home/hal/.steam/steam/steamapps/appmanifest_4183110.acf	Steam Linux Runtime 4.0
