arquivo	pkgname	pkgver	arch
egl-wayland2-1.0.1-1-x86_64.pkg.tar.zst	desconhecido	desconhecido	desconhecido
egl-wayland-4:1.1.21-1-x86_64.pkg.tar.zst	desconhecido	desconhecido	desconhecido
lib32-nvidia-utils-610.43.02-1-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
libxnvctrl-610.43.02-1-x86_64.pkg.tar.zst	desconhecido	desconhecido	desconhecido
linux-cachyos-7.0.11-1-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
linux-cachyos-headers-7.0.11-1-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
linux-cachyos-nvidia-open-7.0.11-1-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
linux-firmware-nvidia-20260519-1-any.pkg.tar.zst	desconhecido	desconhecido	desconhecido
nvidia-settings-610.43.02-1-x86_64.pkg.tar.zst	desconhecido	desconhecido	desconhecido
nvidia-utils-610.43.02-3-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
opencl-nvidia-610.43.02-3-x86_64_v3.pkg.tar.zst	desconhecido	desconhecido	desconhecido
