tipo	pacote	versao	arquivo
nvidia	egl-gbm	1.1.3-1	AUSENTE_NO_CACHE
nvidia	egl-wayland	4:1.1.21-1	AUSENTE_NO_CACHE
nvidia	egl-x11	1.0.5-1	AUSENTE_NO_CACHE
nvidia	lib32-nvidia-utils	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/lib32-nvidia-utils-610.43.02-1-x86_64.pkg.tar.zst
nvidia	lib32-opencl-nvidia	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/lib32-opencl-nvidia-610.43.02-1-x86_64.pkg.tar.zst
nvidia	libxnvctrl	610.43.02-1	AUSENTE_NO_CACHE
kernel	linux-cachyos	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/linux-cachyos-7.0.11-1-x86_64_v3.pkg.tar.zst
nvidia	linux-cachyos-bore-nvidia-open	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/linux-cachyos-bore-nvidia-open-7.0.11-1-x86_64_v3.pkg.tar.zst
headers	linux-cachyos-headers	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/linux-cachyos-headers-7.0.11-1-x86_64_v3.pkg.tar.zst
nvidia	linux-cachyos-nvidia-open	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/linux-cachyos-nvidia-open-7.0.11-1-x86_64_v3.pkg.tar.zst
nvidia	linux-firmware-nvidia	20260519-1	AUSENTE_NO_CACHE
nvidia	nvidia-settings	610.43.02-1	AUSENTE_NO_CACHE
nvidia	nvidia-utils	610.43.02-3	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/nvidia-utils-610.43.02-3-x86_64_v3.pkg.tar.zst
nvidia	opencl-nvidia	610.43.02-3	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-191948/opencl-nvidia-610.43.02-3-x86_64_v3.pkg.tar.zst
