a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accessibility-inspector 26.04.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi 26.04.1-1
akonadi-calendar 26.04.1-1
akonadi-calendar-tools 26.04.1-1
akonadi-contacts 26.04.1-1
akonadi-import-wizard 26.04.1-1
akonadi-mime 26.04.1-1
akonadi-search 26.04.1-1
akonadiconsole 26.04.1-1
akregator 26.04.1-1
alligator 26.04.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
amd-ucode 20260519-1
analitza 26.04.1-1
android-tools 35.0.2-25
android-udev 20260423-1
angelfish 26.04.1-1
aom 3.14.1-1
appstream 1.1.2-1
appstream-glib 0.8.3-4
appstream-qt 1.1.2-1
arch-install-scripts 31-1
archiso 88-1
archlinux-appstream-data 20260421-1
archlinux-keyring 20260420-1
arianna 26.04.1-1
ark 26.04.1-1
artikulate 26.04.1-1
asciidoc 10.2.1-3
at-spi2-core 2.60.4-1
atkmm 2.28.5-1
attica 6.26.0-1
attr 2.5.2-2
audex 26.04.1-1
audiocd-kio 26.04.1-1
audiofile 0.3.6-12
audiotube 26.04.1-1
audit 4.1.4-2
aurorae 6.6.5-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
avogadro-crystals 2.0.0-1
avogadro-fragments 2.0.0-1
avogadro-molecules 2.0.0-1
avogadrolibs 2.0.0-1
avogadrolibs-qt 2.0.0-1
b43-fwcutter 019-6
baloo 6.26.0-1
baloo-widgets 26.04.1-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bc 1.08.2-1
bind 9.20.23-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
black-hole-solver 1.14.0-1
blas 3.12.1-2
blinken 26.04.1-1
bluedevil 1:6.6.5-1
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-qt 6.26.0-1
bluez-tools 0.2.0-6
bolt 0.9.11-1
bomber 26.04.1-1
boost-libs 1.91.0-1
bovo 26.04.1-1
breeze 6.6.5-1
breeze-cursors 6.6.5-1
breeze-gtk 6.6.5-1
breeze-icons 6.26.0-1
breeze-plymouth 6.6.5-1
broadcom-wl-dkms 6.30.223.271-47
brotli 1.2.0-1
bubblewrap 0.11.2-1
busybox 1.36.1-4
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
calendarsupport 26.04.1-1
calligra 26.04.1-2
cantarell-fonts 1:0.311-1
cantor 26.04.1-1
cauchy 0.9.0-5
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.4-1
chromaprint 1.6.0-3
cifs-utils 7.5-1
clang 22.1.5-1
clinfo 3.0.25.02.14-1
cmark 0.31.2-1
colord 1.4.8-1
colord-kde 26.04.1-1
compiler-rt 22.1.5-1
composefs 1.0.8-1
confuse 3.3-5
convertlit 1.8-13
coordgen 3.0.2-4
coreutils 9.11-1
cpio 2.15-3
cpupower 7.0.10-1
cronie 1.7.2-2
crypto++ 8.9.0-3
cryptsetup 2.8.6-1
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.7-1
ddrescue 1.30-2
debugedit 5.3-1
default-cursors 3-1
deno 2.8.1-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
dhclient 4.4.3.P1-4
dhcpcd 10.3.2-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
ding-libs 0.7.0-1
discount 3.0.1.2-1
discover 6.6.5-1
djvulibre 3.5.30-1
dkms 3.4.1-1
dmidecode 3.7-1
dnsmasq 2.92.rel2-2
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
dolphin 26.04.1-1
dolphin-plugins 26.04.1-1
dosfstools 4.2-5
double-conversion 3.4.0-1
dragon 26.04.1-1
drkonqi 6.6.5-2
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
ecryptfs-utils 111-9
editorconfig-core-c 0.12.11-1
efibootmgr 18-4
