item	grupo	camada_mocha	candidatos_pacman	instalado_pacman	disponivel_repo_oficial	disponivel_aur	flatpak_appid	flatpak_status	detalhe_pacman_aur	observacao
Steam	gamer-essencial	PADRAO	steam	sim	sim	nao		SEM_APPID_MAPEADO	steam=instalado+repo	Cliente Steam; base comum de distros gamer.
GameMode	gamer-essencial	PADRAO	gamemode lib32-gamemode	sim	sim	nao		SEM_APPID_MAPEADO	gamemode=instalado+repo; lib32-gamemode=instalado+repo	Ativador de perfil de jogo; linha oficial atual permanece gamemoderun %command% até teste do wrapper MangoHud.
MangoHud	gamer-essencial	PADRAO	mangohud lib32-mangohud	sim	sim	nao		SEM_APPID_MAPEADO	mangohud=instalado+repo; lib32-mangohud=instalado+repo	Overlay fundamental do Mocha; deve usar padrão visual Mocha.
GOverlay	gamer-essencial	PADRAO	goverlay	nao	sim	nao		SEM_APPID_MAPEADO	goverlay=repo	Interface para configurar MangoHud/vkBasalt/OptiScaler; instalado não significa ativar vkBasalt no wrapper.
Gamescope	gamer-ferramenta	DISPONIVEL_SEM_ATIVAR	gamescope	nao	sim	nao		SEM_APPID_MAPEADO	gamescope=repo	Pode existir para usuário/testes, mas não entra no wrapper oficial sem validação.
Lutris	launcher	PADRAO	lutris	nao	sim	nao	net.lutris.Lutris	FLATHUB_DISPONIVEL	lutris=repo	Launcher importante para jogos fora da Steam.
Heroic Games Launcher	launcher	PADRAO	heroic-games-launcher heroic-games-launcher-bin	nao	nao	sim	com.heroicgameslauncher.hgl	FLATHUB_DISPONIVEL	heroic-games-launcher=AUR_DISPONIVEL; heroic-games-launcher-bin=AUR_DISPONIVEL	Launcher Epic/GOG/Amazon; nome varia conforme repo/AUR/Flatpak.
Protontricks	proton-wine	PADRAO	protontricks	nao	sim	nao		SEM_APPID_MAPEADO	protontricks=repo	Ferramenta de correção por prefixo Proton.
Winetricks	proton-wine	PADRAO	winetricks	nao	sim	nao		SEM_APPID_MAPEADO	winetricks=repo	Ferramenta auxiliar Wine/Proton.
ProtonUp-Qt	proton-wine	PADRAO_OU_FLATPAK	protonup-qt	nao	nao	sim	net.davidotek.pupgui2	FLATHUB_DISPONIVEL	protonup-qt=AUR_DISPONIVEL	Gerenciador gráfico de Proton-GE/Wine-GE.
umu-launcher	proton-wine	PADRAO_SE_DISPONIVEL	umu-launcher	nao	sim	nao		SEM_APPID_MAPEADO	umu-launcher=repo	Camada moderna usada por launchers para Proton fora da Steam.
Vulkan Tools	diagnostico	PADRAO	vulkan-tools	sim	sim	nao		SEM_APPID_MAPEADO	vulkan-tools=instalado+repo	Diagnóstico Vulkan.
