UNIT FILE                                    STATE           PRESET
proc-sys-fs-binfmt_misc.automount            static          -
-.mount                                      generated       -
dev-hugepages.mount                          static          -
dev-mqueue.mount                             static          -
efi.mount                                    generated       -
home.mount                                   generated       -
media-mochafast.mount                        generated       -
media-vmstore.mount                          generated       -
proc-fs-nfsd.mount                           static          -
proc-sys-fs-binfmt_misc.mount                disabled        disabled
sys-fs-fuse-connections.mount                static          -
sys-kernel-config.mount                      static          -
sys-kernel-debug.mount                       static          -
sys-kernel-tracing.mount                     static          -
tmp.mount                                    generated       -
var-cache.mount                              generated       -
var-lib-machines.mount                       static          -
var-lib-nfs-rpc_pipefs.mount                 static          -
var-log.mount                                generated       -
gpm.path                                     static          -
lvm-devices-import.path                      disabled        disabled
systemd-ask-password-console.path            static          -
systemd-ask-password-wall.path               static          -
session-2.scope                              transient       -
accounts-daemon.service                      disabled        disabled
alsa-card-wait@.service                      static          -
alsa-restore.service                         static          -
alsa-state.service                           static          -
archlinux-keyring-wkd-sync.service           static          -
arptables.service                            disabled        disabled
audit-rules.service                          disabled        disabled
auditd.service                               disabled        disabled
auth-rpcgss-module.service                   static          -
autovt@.service                              alias           -
avahi-daemon.service                         enabled         disabled
avahi-dnsconfd.service                       disabled        disabled
blk-availability.service                     disabled        disabled
bluetooth.service                            enabled         disabled
breakpoint-pre-basic.service                 static          -
breakpoint-pre-mount.service                 static          -
breakpoint-pre-switch-root.service           static          -
breakpoint-pre-udev.service                  static          -
btrfs-scrub@.service                         static          -
canberra-system-bootup.service               disabled        disabled
canberra-system-shutdown-reboot.service      disabled        disabled
canberra-system-shutdown.service             disabled        disabled
capsule@.service                             static          -
console-getty.service                        disabled        disabled
container-getty@.service                     static          -
dbus-broker.service                          disabled        disabled
dbus-org.bluez.service                       alias           -
dbus-org.fedoraproject.FirewallD1.service    alias           -
dbus-org.freedesktop.Avahi.service           alias           -
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.import1.service         alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.machine1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.portable1.service       alias           -
dbus-org.freedesktop.sysupdate1.service      alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus-org.freedesktop.timesync1.service       alias           -
dbus.service                                 alias           -
debug-shell.service                          disabled        disabled
dirmngr@.service                             static          -
display-manager.service                      alias           -
dm-event.service                             static          -
dmraid.service                               disabled        disabled
dnsmasq.service                              disabled        disabled
dracut-cmdline.service                       static          -
dracut-initqueue.service                     static          -
dracut-mount.service                         static          -
dracut-pre-mount.service                     static          -
dracut-pre-pivot.service                     static          -
dracut-pre-trigger.service                   static          -
dracut-pre-udev.service                      static          -
dracut-shutdown-onfailure.service            static          -
dracut-shutdown.service                      static          -
e2scrub@.service                             static          -
e2scrub_all.service                          static          -
e2scrub_fail@.service                        static          -
e2scrub_reap.service                         disabled        disabled
ead.service                                  disabled        disabled
ebtables.service                             disabled        disabled
emergency.service                            static          -
fancontrol.service                           disabled        disabled
firewalld.service                            enabled         disabled
flatpak-system-helper.service                static          -
fsidd.service                                disabled        disabled
fstrim.service                               static          -
ftpd.service                                 disabled        disabled
fwupd-refresh.service                        static          -
fwupd.service                                static          -
getty@.service                               enabled         enabled
git-daemon@.service                          static          -
glances-web.service                          disabled        disabled
glances.service                              disabled        disabled
gpg-agent@.service                           static          -
gpm.service                                  disabled        disabled
gssproxy.service                             disabled        disabled
haveged-once.service                         static          -
haveged.service                              disabled        disabled
healthd.service                              disabled        disabled
iio-sensor-proxy.service                     static          -
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
ip6tables.service                            disabled        disabled
iptables.service                             disabled        disabled
iwd.service                                  disabled        disabled
keyboxd@.service                             static          -
kmod-static-nodes.service                    static          -
krb5-kadmind.service                         disabled        disabled
krb5-kdc.service                             disabled        disabled
krb5-kpropd.service                          disabled        disabled
krb5-kpropd@.service                         static          -
lastlog2-import.service                      disabled        disabled
ldconfig.service                             static          -
lm_sensors.service                           disabled        disabled
logrotate.service                            static          -
lvm-devices-import.service                   disabled        disabled
lvm2-lvmpolld.service                        static          -
lvm2-monitor.service                         static          -
man-db.service                               static          -
mdadm-grow-continue@.service                 static          -
mdadm-last-resort@.service                   static          -
mdcheck_continue.service                     static          -
mdcheck_start.service                        static          -
mdmon@.service                               static          -
mdmonitor-oneshot.service                    static          -
mdmonitor.service                            static          -
ModemManager.service                         disabled        disabled
modprobe@.service                            static          -
named.service                                disabled        disabled
netctl-auto@.service                         disabled        disabled
netctl-ifplugd@.service                      disabled        disabled
netctl-sleep.service                         disabled        disabled
netctl-wait-online.service                   disabled        disabled
netctl.service                               disabled        disabled
netctl@.service                              static          -
NetworkManager-config-initrd.service         disabled        disabled
NetworkManager-dispatcher.service            enabled         disabled
NetworkManager-initrd.service                disabled        disabled
NetworkManager-wait-online-initrd.service    disabled        disabled
NetworkManager-wait-online.service           enabled         disabled
NetworkManager.service                       enabled         disabled
nfs-idmapd.service                           static          -
nfs-mountd.service                           static          -
nfs-server.service                           disabled        disabled
nfs-utils.service                            static          -
nfsdcld.service                              static          -
nfsv4-exportd.service                        static          -
nfsv4-server.service                         disabled        disabled
nftables.service                             disabled        disabled
nm-priv-helper.service                       static          -
nmb.service                                  disabled        disabled
ntpd.service                                 disabled        disabled
ntpdate.service                              disabled        disabled
nvidia-hibernate.service                     disabled        disabled
nvidia-persistenced.service                  disabled        disabled
nvidia-powerd.service                        disabled        disabled
nvidia-resume.service                        disabled        disabled
nvidia-suspend-then-hibernate.service        disabled        disabled
nvidia-suspend.service                       disabled        disabled
openvpn-client@.service                      disabled        disabled
openvpn-server@.service                      disabled        disabled
ostree-boot-complete.service                 static          -
ostree-finalize-staged-hold.service          static          -
ostree-finalize-staged.service               static          -
ostree-prepare-root.service                  static          -
ostree-remount.service                       disabled        disabled
ostree-state-overlay@.service                disabled        disabled
paccache.service                             static          -
pacman-filesdb-refresh.service               static          -
pam_namespace.service                        static          -
passim.service                               static          -
pcscd.service                                indirect        disabled
pkgfile-update.service                       static          -
pkgfiled.service                             disabled        disabled
plasmalogin.service                          enabled         disabled
plocate-updatedb.service                     static          -
polkit-agent-helper@.service                 static          -
polkit.service                               static          -
power-profiles-daemon.service                enabled         disabled
ppp@.service                                 disabled        disabled
quotaon-root.service                         static          -
quotaon@.service                             static          -
reflector.service                            disabled        disabled
rescue.service                               static          -
rfkill-block@.service                        disabled        disabled
rfkill-unblock@.service                      disabled        disabled
rlogin@.service                              static          -
rpc-gssd.service                             static          -
rpc-statd-notify.service                     static          -
rpc-statd.service                            static          -
rpcbind.service                              disabled        disabled
rsh@.service                                 static          -
rsyncd.service                               disabled        disabled
rsyncd@.service                              static          -
rtkit-daemon.service                         disabled        disabled
samba-bgqd.service                           disabled        disabled
samba.service                                disabled        disabled
sensord.service                              disabled        disabled
serial-getty@.service                        disabled        disabled
shadow.service                               static          -
smartd.service                               disabled        disabled
smb.service                                  disabled        disabled
sndiod.service                               disabled        disabled
sshd-unix-local@.service                     alias           -
sshd.service                                 disabled        disabled
sshd@.service                                indirect        disabled
sshdgenkeys.service                          disabled        disabled
sudo_logsrvd.service                         disabled        disabled
system-update-cleanup.service                static          -
systemd-ask-password-console.service         static          -
systemd-ask-password-wall.service            static          -
systemd-ask-password@.service                static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-bless-boot.service                   static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-boot-clear-sysfail.service           disabled        enabled
systemd-boot-random-seed.service             static          -
systemd-boot-update.service                  disabled        enabled
systemd-bootctl@.service                     static          -
systemd-bsod.service                         static          -
systemd-confext-initrd.service               static          -
systemd-confext.service                      disabled        enabled
systemd-coredump@.service                    static          -
systemd-creds@.service                       static          -
systemd-exit.service                         static          -
systemd-factory-reset-complete.service       static          -
systemd-factory-reset-reboot.service         static          -
systemd-factory-reset-request.service        static          -
systemd-factory-reset@.service               static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    static          -
systemd-fsck@.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-clear.service              static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-homed-activate.service               disabled        enabled
systemd-homed-firstboot.service              disabled        disabled
systemd-homed.service                        disabled        enabled
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-importd.service                      static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journal-gatewayd.service             indirect        disabled
systemd-journal-remote.service               indirect        disabled
systemd-journal-upload.service               disabled        disabled
systemd-journalctl@.service                  static          -
systemd-journald-sync@.service               static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-loop@.service                        static          -
systemd-machine-id-commit.service            static          -
systemd-machined.service                     static          -
systemd-modules-load.service                 static          -
systemd-mountfsd.service                     indirect        disabled
systemd-mute-console@.service                static          -
systemd-network-generator.service            disabled        enabled
systemd-networkd-persistent-storage.service  static          -
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        disabled
systemd-networkd.service                     disabled        enabled
systemd-nspawn@.service                      disabled        disabled
systemd-nsresourced.service                  indirect        disabled
systemd-oomd.service                         disabled        disabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        disabled
systemd-pcrlock-firmware-code.service        disabled        disabled
systemd-pcrlock-firmware-config.service      disabled        disabled
systemd-pcrlock-machine-id.service           disabled        disabled
systemd-pcrlock-make-policy.service          disabled        disabled
systemd-pcrlock-secureboot-authority.service disabled        disabled
systemd-pcrlock-secureboot-policy.service    disabled        disabled
systemd-pcrlock@.service                     static          -
systemd-pcrmachine.service                   static          -
systemd-pcrnvdone.service                    static          -
systemd-pcrphase-factory-reset.service       static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-storage-target-mode.service static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-pcrproduct.service                   static          -
systemd-portabled.service                    static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       disabled        enabled
systemd-quotacheck-root.service              static          -
systemd-quotacheck@.service                  static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime disabled
systemd-repart.service                       static          -
systemd-repart@.service                      static          -
systemd-resolved.service                     disabled        enabled
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext-initrd.service                static          -
systemd-sysext.service                       disabled        enabled
systemd-sysext@.service                      static          -
systemd-sysupdate-reboot.service             indirect        disabled
systemd-sysupdate.service                    indirect        disabled
systemd-sysupdated.service                   static          -
systemd-sysusers.service                     static          -
systemd-time-wait-sync.service               disabled        disabled
systemd-timedated.service                    static          -
systemd-timesyncd.service                    enabled         enabled
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-clear.service                   disabled        enabled
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-load-credentials.service        disabled        disabled
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-update-utmp.service                  static          -
systemd-user-sessions.service                static          -
systemd-userdb-load-credentials.service      disabled        disabled
systemd-userdbd.service                      indirect        disabled
systemd-validatefs@.service                  static          -
systemd-vconsole-setup.service               static          -
systemd-vmspawn@.service                     disabled        disabled
systemd-volatile-root.service                static          -
talk.service                                 indirect        disabled
teamd@.service                               static          -
telnet@.service                              static          -
udisks2.service                              disabled        disabled
upower.service                               disabled        disabled
usb_modeswitch@.service                      static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
uuidd.service                                indirect        disabled
vpnc@.service                                disabled        disabled
winbind.service                              disabled        disabled
wpa_supplicant-nl80211@.service              disabled        disabled
wpa_supplicant-wired@.service                disabled        disabled
wpa_supplicant.service                       disabled        disabled
wpa_supplicant@.service                      disabled        disabled
xfs_healer@.service                          disabled        disabled
xfs_healer_start.service                     disabled        disabled
xfs_scrub@.service                           static          -
xfs_scrub_all.service                        static          -
xfs_scrub_all_fail.service                   static          -
xfs_scrub_fail@.service                      static          -
xfs_scrub_media@.service                     static          -
xfs_scrub_media_fail@.service                static          -
xl2tpd.service                               disabled        disabled
capsule.slice                                static          -
machine.slice                                static          -
system-systemd\x2dcryptsetup.slice           static          -
system-systemd\x2dmute\x2dconsole.slice      static          -
system-systemd\x2dveritysetup.slice          static          -
system-xfs_healer.slice                      disabled        disabled
system-xfs_scrub.slice                       disabled        disabled
user.slice                                   static          -
avahi-daemon.socket                          enabled         disabled
dbus.socket                                  static          -
dirmngr@.socket                              static          -
dm-event.socket                              static          -
git-daemon.socket                            disabled        disabled
gpg-agent-browser@.socket                    static          -
gpg-agent-extra@.socket                      static          -
gpg-agent-ssh@.socket                        static          -
gpg-agent@.socket                            static          -
keyboxd@.socket                              static          -
krb5-kpropd.socket                           disabled        disabled
lvm2-lvmpolld.socket                         static          -
pcscd.socket                                 disabled        disabled
polkit-agent-helper.socket                   static          -
rlogin.socket                                disabled        disabled
rpcbind.socket                               disabled        disabled
rsh.socket                                   disabled        disabled
rsyncd.socket                                disabled        disabled
sshd-unix-local.socket                       generated       -
syslog.socket                                static          -
systemd-ask-password.socket                  static          -
systemd-bootctl.socket                       static          -
systemd-coredump.socket                      static          -
systemd-creds.socket                         static          -
systemd-factory-reset.socket                 disabled        disabled
systemd-hostnamed.socket                     static          -
systemd-importd.socket                       static          -
systemd-journal-gatewayd.socket              disabled        disabled
systemd-journal-remote.socket                disabled        disabled
systemd-journalctl.socket                    static          -
systemd-journald-audit.socket                disabled        enabled
systemd-journald-dev-log.socket              static          -
systemd-journald-varlink@.socket             static          -
systemd-journald.socket                      static          -
systemd-journald@.socket                     disabled        disabled
systemd-logind-varlink.socket                static          -
systemd-machined.socket                      static          -
systemd-mountfsd.socket                      disabled        enabled
systemd-mute-console.socket                  static          -
systemd-networkd-resolve-hook.socket         disabled        disabled
systemd-networkd-varlink-metrics.socket      disabled        disabled
systemd-networkd-varlink.socket              disabled        disabled
systemd-networkd.socket                      disabled        disabled
systemd-nsresourced.socket                   disabled        enabled
systemd-oomd.socket                          disabled        disabled
systemd-pcrextend.socket                     disabled        disabled
systemd-pcrlock.socket                       static          -
systemd-repart.socket                        static          -
systemd-resolved-monitor.socket              disabled        disabled
systemd-resolved-varlink.socket              disabled        disabled
systemd-rfkill.socket                        static          -
systemd-sysext.socket                        disabled        disabled
systemd-udevd-control.socket                 static          -
systemd-udevd-kernel.socket                  static          -
systemd-udevd-varlink.socket                 static          -
systemd-userdbd.socket                       enabled         enabled
talk.socket                                  disabled        disabled
telnet.socket                                disabled        disabled
uuidd.socket                                 disabled        disabled
dev-disk-by\x2ddiskseq-4\x2dpart3.swap       generated       -
basic.target                                 static          -
blockdev@.target                             static          -
bluetooth.target                             static          -
boot-complete.target                         static          -
cryptsetup-pre.target                        static          -
cryptsetup.target                            static          -
ctrl-alt-del.target                          alias           -
default.target                               alias           -
emergency.target                             static          -
exit.target                                  disabled        disabled
factory-reset-now.target                     static          -
factory-reset.target                         static          -
final.target                                 static          -
first-boot-complete.target                   static          -
getty-pre.target                             static          -
getty.target                                 static          -
graphical.target                             indirect        disabled
halt.target                                  disabled        disabled
hibernate.target                             static          -
hybrid-sleep.target                          static          -
imports-pre.target                           static          -
imports.target                               static          -
initrd-fs.target                             static          -
initrd-root-device.target                    static          -
initrd-root-fs.target                        static          -
initrd-switch-root.target                    static          -
initrd-usr-fs.target                         static          -
initrd.target                                static          -
integritysetup-pre.target                    static          -
integritysetup.target                        static          -
kexec.target                                 disabled        disabled
local-fs-pre.target                          static          -
local-fs.target                              static          -
machines.target                              disabled        enabled
multi-user.target                            static          -
network-online.target                        static          -
network-pre.target                           static          -
network.target                               static          -
nfs-client.target                            disabled        disabled
nss-lookup.target                            static          -
nss-user-lookup.target                       static          -
paths.target                                 static          -
poweroff.target                              disabled        disabled
printer.target                               static          -
reboot.target                                disabled        enabled
remote-cryptsetup.target                     disabled        enabled
remote-fs-pre.target                         static          -
remote-fs.target                             enabled         enabled
remote-integritysetup.target                 disabled        enabled
remote-veritysetup.target                    disabled        enabled
rescue.target                                static          -
rpc_pipefs.target                            static          -
rpcbind.target                               static          -
shutdown.target                              static          -
sigpwr.target                                static          -
sleep.target                                 static          -
slices.target                                static          -
smartcard.target                             static          -
sockets.target                               static          -
soft-reboot.target                           static          -
sound.target                                 static          -
ssh-access.target                            static          -
storage-target-mode.target                   static          -
suspend-then-hibernate.target                static          -
suspend.target                               static          -
swap.target                                  static          -
sysinit.target                               static          -
system-update-pre.target                     static          -
system-update.target                         static          -
time-set.target                              static          -
time-sync.target                             static          -
timers.target                                static          -
tpm2.target                                  static          -
umount.target                                static          -
usb-gadget.target                            static          -
veritysetup-pre.target                       static          -
veritysetup.target                           static          -
archlinux-keyring-wkd-sync.timer             static          -
btrfs-scrub@.timer                           disabled        disabled
e2scrub_all.timer                            disabled        disabled
fstrim.timer                                 enabled         disabled
fwupd-refresh.timer                          disabled        disabled
logrotate.timer                              disabled        disabled
man-db.timer                                 disabled        disabled
mdadm-last-resort@.timer                     static          -
mdcheck_continue.timer                       disabled        disabled
mdcheck_start.timer                          disabled        disabled
mdmonitor-oneshot.timer                      disabled        disabled
paccache.timer                               disabled        disabled
pacman-filesdb-refresh.timer                 disabled        disabled
pkgfile-update.timer                         disabled        disabled
plocate-updatedb.timer                       static          -
reflector.timer                              disabled        disabled
shadow.timer                                 static          -
systemd-sysupdate-reboot.timer               disabled        disabled
systemd-sysupdate.timer                      disabled        disabled
systemd-tmpfiles-clean.timer                 static          -
xfs_scrub_all.timer                          disabled        disabled

536 unit files listed.
