timestamp,elapsed_s,gamemode_active,gpu_name,driver,pstate,gpu_clock_mhz,mem_clock_mhz,power_w,temp_c,gpu_util_pct,vram_used_mib,vram_total_mib,ram_used_mib,ram_total_mib,load1,load5,load15,cpu_busy_pct
2026-07-01T11:04:10-03:00,0,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2820,14126,108.75,57,65,4840,16311,7543,15777,4.14,4.94,3.30,0
2026-07-01T11:04:15-03:00,5,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2812,14126,117.19,60,72,5037,16311,7567,15777,3.97,4.89,3.30,45.6
2026-07-01T11:04:20-03:00,10,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2790,14126,122.39,62,78,5939,16311,7571,15777,3.73,4.82,3.28,43.2
2026-07-01T11:04:25-03:00,15,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,121.07,61,77,6093,16311,7625,15777,4.63,4.99,3.35,43.5
2026-07-01T11:04:30-03:00,20,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,117.65,61,76,6075,16311,7622,15777,4.98,5.06,3.38,46.8
2026-07-01T11:04:35-03:00,25,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,124.88,62,76,6933,16311,7580,15777,6.11,5.29,3.46,44.2
2026-07-01T11:04:40-03:00,30,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,112.25,59,73,7021,16311,7577,15777,6.10,5.30,3.47,43.9
2026-07-01T11:04:45-03:00,35,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,115.87,59,74,7021,16311,7571,15777,6.97,5.50,3.55,47.3
2026-07-01T11:04:50-03:00,40,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,119.33,59,76,7197,16311,7588,15777,6.57,5.44,3.54,45.0
2026-07-01T11:04:55-03:00,45,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2812,14126,119.69,59,74,7197,16311,7577,15777,6.29,5.40,3.54,47.5
2026-07-01T11:05:00-03:00,50,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,122.60,60,79,7351,16311,7546,15777,5.86,5.33,3.52,46.8
2026-07-01T11:05:05-03:00,55,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2790,14126,133.34,60,85,7461,16311,7560,15777,5.55,5.27,3.51,44.7
2026-07-01T11:05:10-03:00,60,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2812,14126,120.53,59,76,7505,16311,7603,15777,5.27,5.21,3.51,44.6
2026-07-01T11:05:16-03:00,66,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,121.10,58,75,7505,16311,7585,15777,6.13,5.39,3.57,47.8
2026-07-01T11:05:21-03:00,71,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2797,14126,126.01,60,79,7549,16311,7580,15777,6.76,5.54,3.63,46.4
2026-07-01T11:05:26-03:00,76,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,122.98,59,72,7549,16311,7577,15777,6.94,5.59,3.66,43.1
2026-07-01T11:05:31-03:00,81,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,121.78,57,76,7571,16311,7583,15777,7.99,5.86,3.76,46.5
2026-07-01T11:05:36-03:00,86,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,121.12,58,74,7571,16311,7616,15777,7.67,5.83,3.77,46.4
2026-07-01T11:05:41-03:00,91,1,"NVIDIA GeForce RTX 5060 Ti",610.43.02,P0,2805,14126,124.79,58,79,7571,16311,7627,15777,7.46,5.81,3.77,46.7
