numero	arquivo_numerado	miniatura	classificacao_formato	largura	altura	proporcao	modificacao	sha256	arquivo_original
001	IMG-001.png	IMG-001.jpg	PAISAGEM	1448	1086	1.3333	2026-06-06 00:27:33	a22c6b2e53d18a999384b5ddd8cd12340b9c1c32534d94ec47386c489721fb85	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_33 AM (8).png
002	IMG-002.png	IMG-002.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:33	f929a7cb9b0e149868a4b1ed4fb404ca1c861b39300523e855714bc0335457c8	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_33 AM (7).png
003	IMG-003.png	IMG-003.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:33	4f364151dde46a4ce272b0fb4541bb2f99fb6a22c2bc6354046e01815cd042ee	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_33 AM (6).png
004	IMG-004.png	IMG-004.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:33	dd78186c75a119f8789fe55344d2df3648c4b51a168b12272539c479af2527fd	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_33 AM (5).png
005	IMG-005.png	IMG-005.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:33	ca845d3cb93fb48b350c093e718c890a92a6c1cb57d953083fc20421c46da55d	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_32 AM (4).png
006	IMG-006.png	IMG-006.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:32	09312caf4cabe08ff49feb24bcdc8920b459f8cc330a6b1dd8da7f65fb1d89d2	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_32 AM (3).png
007	IMG-007.png	IMG-007.jpg	PAISAGEM	1448	1086	1.3333	2026-06-06 00:27:32	bcae6a870213cef59f25a07ad7886dfc2fd2a317310575ccc108610f429b9412	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_32 AM (2).png
008	IMG-008.png	IMG-008.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:32	7c9e7121d693712a312d73df4344cd17c2726b8010cbfe5517cc74ccc3132417	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_32 AM (1).png
009	IMG-009.png	IMG-009.jpg	PAISAGEM	1448	1086	1.3333	2026-06-06 00:27:15	a8a0135cd2c139b30ab3600927038baa47f66e5548253ab69302d01a120a9d2c	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (8).png
010	IMG-010.png	IMG-010.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	8d331bc93e7e147a17f4761aa4d7ad107e7dcd32e77321aec2948a9975f5e047	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (7).png
011	IMG-011.png	IMG-011.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	58d4946f9f0f92e87a1c92ec8c07c1dffb4766cf0182a2103d3bfb4f7f702c51	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (6).png
012	IMG-012.png	IMG-012.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	e069a878ae4c0951c1178141098526868c2fecbc88c0d6370c2ee6d05236e4fb	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (5).png
013	IMG-013.png	IMG-013.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	76368afe8001a4183fe2ae189c51c39753f19aeb324b05ff282b14b11260aca1	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (4).png
014	IMG-014.png	IMG-014.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	12e30200f31941e67101a6319c07c76daf8fea3d253f32a7c8da0178184fea5f	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (3).png
015	IMG-015.png	IMG-015.jpg	PAISAGEM	1448	1086	1.3333	2026-06-06 00:27:15	010b85b394488ee5b30a20e4c083c59c61cf94b83eb3e9f6918e408df52ac0d2	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (2).png
016	IMG-016.png	IMG-016.jpg	PAISAGEM_16_9	1691	930	1.8183	2026-06-06 00:27:15	909666b61d7df7d6da64e02d2a3f2e30168604b99deb5ec8191db0a957402fc2	/home/hal/Downloads/ChatGPT Image Jun 6, 2026, 12_27_15 AM (1).png
