a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
amd-ucode 20260519-1
android-tools 35.0.2-25
android-udev 20260423-1
aom 3.14.1-1
appstream 1.1.2-1
appstream-glib 0.8.3-4
appstream-qt 1.1.2-1
arch-install-scripts 31-1
archinstall 4.3-1
archiso 88-1
archlinux-appstream-data 20260421-1
archlinux-keyring 20260420-1
ark 26.04.1-1
asciidoc 10.2.1-3
at-spi2-core 2.60.4-1
atkmm 2.28.5-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bc 1.08.2-1
bind 9.20.23-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
bluedevil 1:6.6.5-1
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-obex 5.86-6
bluez-qt 6.26.0-1
bluez-qt5 5.116.0-2
bluez-tools 0.2.0-6
bluez-utils 5.86-6
boost 1.91.0-1
boost-libs 1.91.0-1
botan 3.12.0-1
breeze-icons 6.26.0-1
brltty 6.9.1-1
broadcom-wl 6.30.223.271-698
brotli 1.2.0-1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1
busybox 1.36.1-4
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
catfish 4.20.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
chromaprint 1.6.0-3
cifs-utils 7.5-1
ckbcomp 1.244-1
clang 22.1.6-1
clonezilla 5.15.33-1
cloud-init 26.1-1
cmake 4.3.3-1
colord 1.4.8-1
compiler-rt 22.1.6-1
composefs 1.0.8-1
confuse 3.3-5
convertlit 1.8-13
coreutils 9.11-1
cpio 2.15-3
cppdap 1.58.0-3
cracklib 2.10.3-1
crypto++ 8.9.0-3
cryptsetup 2.8.6-1
curl 8.20.0-7
darkhttpd 1.17-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddrescue 1.30-2
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
dhclient 4.4.3.P1-4
dhcpcd 10.3.2-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
ding-libs 0.7.0-1
dkms 3.4.1-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92.rel2-2
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
dosfstools 4.2-5
double-conversion 3.4.0-1
doxygen 1.16.1-3
drbl 5.9.6-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
ecryptfs-utils 111-9
edk2-shell 202605-1
efibootmgr 18-4
efitools 1.9.2-7
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
elementary-icon-theme 8.2.0-2
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
erofs-utils 1.9.1-1
espeak-ng 1.52.0-1
espeakup 0.90-4
ethtool 1:7.0-1
ex-vi-compat 2-1
exfatprogs 1.4.1-1
exiv2 0.28.8-2
exo 4.20.0-2
expat 2.8.1-1
extra-cmake-modules 6.26.0-1
f2fs-tools 1.16.0-3
faac 1.50-1
faad2 2.11.2-1
fakeroot 1.38.1-1
fatresize 1.1.0-2
ffmpeg 2:8.1.1-2
ffmpegthumbnailer 2.3.0-1
fftw 3.3.11-1
file 5.47-3
file-roller 44.6-2
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 151.0.2-1
flac 1.5.0-1
flatpak 1:1.16.6-1
flex 2.6.4-6
fluidsynth 2.5.4-1
fmt 12.1.0-2
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fsarchiver 0.8.9-1
fuse-common 3.18.2-1
